Software,RP Name,Software's Web Page,Software Documentation,Tutorials
MATIO,Delta,https://github.com/tbeu/matio,https://github.com/tbeu/matio/blob/master/documentation/matvar_structure.texi,"https://github.com/tbeu/matio/blob/master/documentation/quick.texi , https://github.com/NJannasch/matio-examples"
MATLAB,"DARWIN, ACES",https://www.mathworks.com/products/matlab.html,https://www.mathworks.com/help/matlab/,"https://matlabacademy.mathworks.com/ , https://www.mathworks.com/help/matlab/getting-started-with-matlab.html , https://www.mathworks.com/matlabcentral/ "
matlab_unlicensed,Rockfish,,,
Matplotlib,Bridges-2,https://matplotlib.org/,https://matplotlib.org/stable/users/index.html,"https://matplotlib.org/stable/tutorials/index.html , https://realpython.com/python-matplotlib-guide/ , https://www.datacamp.com/tutorial/matplotlib-tutorial-python "
maven,Stampede-2,https://maven.apache.org/,https://maven.apache.org/guides/index.html,"https://maven.apache.org/guides/getting-started/maven-in-five-minutes.html , https://maven.apache.org/guides/getting-started/index.html , https://www.baeldung.com/maven , https://www.tutorialspoint.com/maven/index.htm"
MCell,Rockfish,https://github.com/mcellteam/mcell,https://github.com/mcellteam/mcell/blob/master/README.md,
mcr,Stampede-2,https://www.mathworks.com/products/compiler/matlab-runtime.html,https://www.mathworks.com/help/compiler/matlab-runtime.html,"https://www.mathworks.com/help/compiler/getting-started-with-matlab-compiler.html , https://www.mathworks.com/help/compiler/examples.html"
mdanalysis,Rockfish,https://www.mdanalysis.org/,https://docs.mdanalysis.org/stable/,https://www.mdanalysis.org/pages/learning_MDAnalysis/
meep,Rockfish,https://meep.readthedocs.io/en/stable/,https://meep.readthedocs.io/en/stable/Python_User_Interface/,"https://meep.readthedocs.io/en/stable/Introduction/ , https://meep.readthedocs.io/en/stable/Python_Tutorials/Basics/ "
megalodon,Bridges-2,https://nanoporetech.github.io/megalodon/,https://nanoporetech.github.io/megalodon/,https://community.nanoporetech.com/posts/modifications-and-megalodon
MELT,ACES,https://www.mltframework.org/,https://www.mltframework.org/docs/,
MEME Suite,"Expanse, OOKAMI",https://meme-suite.org/meme/,https://meme-suite.org/meme/doc/overview.html,"https://meme-suite.org/meme/doc/meme.html#sp_search , https://meme-suite.org/meme/doc/ame-tutorial.html?man_type=web"
MemoryViewer,"ACES, Rockfish, Rockfish",https://memverge.com/memoryviewer/,https://memverge.com/wp-content/uploads/2022/08/QuickStartGuide_MemoryViewer_R1b.pdf,https://memverge.com/wp-content/uploads/2022/08/QuickStartGuide_MemoryViewer_R1b.pdf
mercurial,ACES,https://www.mercurial-scm.org/,https://book.mercurial-scm.org/read/,https://wiki.mercurial-scm.org/Tutorial
Mesa,Bridges-2,https://www.mesa3d.org/,https://docs.mesa3d.org/,https://gitlab.freedesktop.org/mesa/demos
Meson,"Stampede-2, ACES, Rockfish",https://mesonbuild.com/,https://mesonbuild.com/Manual.html,"https://mesonbuild.com/SimpleStart.html , https://mesonbuild.com/Quick-guide.html , https://mesonbuild.com/Tutorial.html , https://mesonbuild.com/Meson-sample.html "
Methylpy,ACES,https://github.com/yupenghe/methylpy,https://github.com/yupenghe/methylpy/tree/methylpy/docs,https://github.com/yupenghe/methylpy/blob/methylpy/tutorial/tutorial.md
metis,"KyRIC, Bridges-2",https://github.com/KarypisLab/METIS/tree/master,https://github.com/KarypisLab/METIS/blob/master/manual/manual.pdf,"https://www.niu.edu/crcd/current-users/getting-started/build-run-example.shtml , https://github.com/KarypisLab/METIS/blob/master/test/mtest.c "
Miniconda3,KyRIC,https://docs.anaconda.com/free/miniconda/,https://docs.conda.io/projects/conda/en/latest/dev-guide/index.html,"https://conda.io/projects/conda/en/latest/user-guide/getting-started.html , https://conda.io/projects/conda/en/latest/user-guide/tasks/manage-environments.html "
MKL,Stampede-2,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html#gs.54486a,https://www.intel.com/content/www/us/en/docs/onemkl/developer-guide-linux/2024-1/overview.html,"https://www.intel.com/content/www/us/en/docs/onemkl/tutorial-c/2021-4/overview-001.html#GUID-61CC7FFD-4B0B-44CB-B76A-F8D875E935D2 , https://www.intel.com/content/www/us/en/docs/onemkl/get-started-guide/2024-0/overview.html , https://portal.nacad.ufrj.br/online/intel/mkl/common/tutorials/mkl_mmx_f/GUID-CEB793BF-BEFC-42F3-9D4D-F1207725B2DC.htm "
mkl32,Delta,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html#gs.52f6n2,,
mkmod,OOKAMI,https://github.com/TACC/mkmod,https://readthedocs.org/projects/mkmod/downloads/pdf/latest/,"https://mkmod.readthedocs.io/en/latest/010_basic_use_case.html , https://mkmod.readthedocs.io/en/latest/020_basic_control_env_vars.html "
modtree,OOKAMI,https://github.com/falconindy/modtree,https://github.com/falconindy/modtree/blob/master/doc/modtree.1,https://www.rcac.purdue.edu/knowledge/anvil/software/compile/nvidiagpu
module-git,ACES,,,
module-info,Jetstream2,https://github.com/dmlloyd/module-info,https://github.com/dmlloyd/module-info,https://github.com/dmlloyd/module-info#yaml-example
MONAI,Anvil,https://monai.io/,https://docs.monai.io/en/stable/,"https://github.com/Project-MONAI/tutorials , https://monai.io/started.html , https://github.com/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb "
Mongo,Rockfish,https://www.mongodb.com/,https://www.mongodb.com/docs/,https://www.mongodb.com/docs/manual/tutorial/
monitor,ACES,,,
morpheus,"Anvil, Rockfish",https://morpheus.gitlab.io/,https://gitlab.com/morpheus.lab/morpheus/-/wikis/home,"https://morpheus.gitlab.io/model/,https://morpheus.gitlab.io/model/built-in-examples/,https://morpheus.gitlab.io/tutorial/"
motif,KyRIC,https://motif.ics.com/motif,https://motif.ics.com/sites/default/files/ReferenceManual.pdf,"https://motif.ics.com/sites/default/files/BeginnerGuide.pdf , https://motif.ics.com/sites/default/files/UserGuide.pdf , https://motif.ics.com/sites/default/files/TutorialGuide.pdf "
mpc,"OOKAMI, Anvil, ACES, Rockfish",https://www.multiprecision.org/,https://www.multiprecision.org/downloads/mpc-1.3.1.pdf,"https://doc.sagemath.org/html/en/reference/rings_numerical/sage/rings/complex_mpc.html , https://tspiteri.gitlab.io/gmp-mpfr-sys/dev/gmp_mpfr_sys/C/MPC/constant.GNU_MPC_Basics.html "
mpc-1.1.0-gcc-9.3.0-vqwlz4l,KyRIC,https://www.musicpd.org/clients/mpc/,https://www.musicpd.org/doc/mpc/html/,https://github.com/MusicPlayerDaemon/MPD/discussions
mpfr,"KyRIC, DARWIN, Bridges-2",https://www.mpfr.org/,https://www.mpfr.org/mpfr-current/mpfr.html,"https://www.mpfr.org/mpfr-current/mpfr.html#MPFR-Basics , https://www.mpfr.org/sample.html , https://www.mpfr.org/algorithms.pdf "
mpfr-4.0.2-gcc-9.3.0-qfh5u7a,"OOKAMI, DARWIN, ACES",https://www.mpfr.org/,https://www.mpfr.org/mpfr-current/#doc,https://www.mpfr.org/mpfr-current/mpfr.html#Tutorials
MPI,Rockfish,https://www.mpi-forum.org/,https://www.mpi-forum.org/docs/mpi-4.1/mpi41-report.pdf,"https://mpitutorial.com/tutorials/ , https://www.codingame.com/playgrounds/349/introduction-to-mpi/introduction-to-distributed-computing "
Mpi4py,"OOKAMI, KyRIC, Delta",https://github.com/mpi4py/mpi4py,https://mpi4py.readthedocs.io/en/latest/,https://mpi4py.readthedocs.io/en/latest/tutorial.html
mpiBench,Rockfish,https://github.com/LLNL/mpiBench,https://github.com/LLNL/mpiBench/blob/main/README.md,
mpich,Rockfish,https://www.mpich.org/,https://www.mpich.org/documentation/,https://www.mpich.org/documentation/guides/
msrsync,"Stampede-2, ACES",https://github.com/jbd/msrsync,https://github.com/jbd/msrsync,"https://phoenixnap.com/kb/rsync-command-linux-examples,https://linux.die.net/man/1/rsync"
mummer,Bridges-2,https://mummer4.github.io/,https://mummer4.github.io/manual/manual.html,"https://mummer4.github.io/tutorial/tutorial.html , https://github.com/mummer4/mummer/tree/master/examples "
mumps,Delta,https://mumps-solver.org/index.php,https://mumps-solver.org/doc/userguide_5.6.2.pdf,"https://mumps-solver.org/index.php?page=faq , https://people.math.sc.edu/Burkardt/examples/mumps/dsimpletest.F"
MVAPICH,"OOKAMI, KyRIC",https://mvapich.cse.ohio-state.edu/overview/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-userguide.html,https://mvapich.cse.ohio-state.edu/static/media/mvapich/quick.html
mvapich-3.0b_s11,Delta,https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/userguide/,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/"
mvapich2,"Jetstream2, Rockfish",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-2.3.6-userguide.html,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/"
mvapich2-3.0a_s11,"OOKAMI, Stampede-2, DARWIN, Bridges-2, Rockfish",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-2.3.6-userguide.html,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/"
mysql,Delta,https://www.mysql.com/,https://dev.mysql.com/doc/,https://dev.mysql.com/doc/mysql-getting-started/en/
NAMD,Rockfish,https://www.ks.uiuc.edu/Research/namd/,https://www.ks.uiuc.edu/Research/namd/current/ug/,"https://www.ks.uiuc.edu/Training/Tutorials/namd/namd-tutorial-win-html/index.html , https://www.ks.uiuc.edu/Training/Tutorials/science/forces/forces-tutorial-html/ "
namd3,ACES,https://www.ks.uiuc.edu/Research/namd/,https://www.ks.uiuc.edu/Research/namd/2.14/ug/,https://www.ks.uiuc.edu/Training/Tutorials/
nanopolish,ACES,https://github.com/jts/nanopolish,https://nanopolish.readthedocs.io/en/latest/manual.html,"https://nanopolish.readthedocs.io/en/latest/quickstart_consensus.html , https://nanopolish.readthedocs.io/en/latest/quickstart_eventalign.html , https://nanopolish.readthedocs.io/en/latest/quickstart_call_methylation.html , https://nanopolish.readthedocs.io/en/latest/quickstart_polya.html "
NASM,ACES,https://www.nasm.us/,https://www.nasm.us/doc/,"https://cs.lmu.edu/~ray/notes/nasmtutorial/ , https://redirect.cs.umbc.edu/portal/help/nasm/sample.shtml , https://cratecode.com/info/nasm-tutorial "
ncbi-vdb,Rockfish,https://www.ncbi.nlm.nih.gov/,https://www.ncbi.nlm.nih.gov/books/NBK3831/,"https://www.ncbi.nlm.nih.gov/guide/training-tutorials/,https://www.ncbi.nlm.nih.gov/home/learn/"
NCCL,"OOKAMI, Bridges-2, Rockfish",https://developer.nvidia.com/nccl,https://docs.nvidia.com/deeplearning/nccl/user-guide/docs/index.html,"https://docs.nvidia.com/deeplearning/nccl/user-guide/docs/examples.html , https://docs.nvidia.com/deeplearning/nccl/user-guide/docs/usage.html , https://github.com/NVIDIA/nccl/blob/master/ext-tuner/example/nccl/tuner.h "
ncdf4,Stampede-2,https://cran.r-project.org/web/packages/ncdf4/index.html,https://cran.r-project.org/web/packages/ncdf4/ncdf4.pdf,
Ncdu,"Stampede-2, ACES, Rockfish",https://dev.yorhel.nl/ncdu,https://dev.yorhel.nl/ncdu/man,"https://ioflood.com/blog/ncdu-linux-command/ , https://www.networkworld.com/article/970542/looking-at-linux-disk-usage-with-the-ncdu-command.html , https://opensource.com/article/21/8/ncdu-check-free-disk-space-linux "
ncl_ncarg,"OOKAMI, ACES, Rockfish",https://www.ncl.ucar.edu/,https://www.ncl.ucar.edu/Document/,"https://www.ncl.ucar.edu/Document/Manuals/NCL_User_Guide/ , https://www.ncl.ucar.edu/Training/Tutorials/ , https://www.ncl.ucar.edu/Applications/ , https://www.ncl.ucar.edu/Training/Webinars/ "
nco,KyRIC,https://nco.sourceforge.net/,https://nco.sourceforge.net/nco.html,"https://nco.sourceforge.net/nco.html#Quick-Start , https://nco.sourceforge.net/nco.html#Examples-ncap2 , https://nco.sourceforge.net/nco.html#CCSM-Example , https://nco.sourceforge.net/nco.html#How-to-Use-This-guide "
ncurses,"Stampede-2, Anvil, Bridges-2, Rockfish",https://invisible-island.net/ncurses/announce.html,https://invisible-island.net/ncurses/announce.html#h3-documentation,"https://invisible-island.net/ncurses/ncurses-examples.html , https://tldp.org/HOWTO/NCURSES-Programming-HOWTO/  "
ncurses-6.2-gcc-9.3.0-mntyciy,"OOKAMI, Stampede-2, Anvil, ACES",https://invisible-island.net/ncurses/announce.html,https://invisible-island.net/ncurses/announce.html#h3-documentation,https://invisible-island.net/ncurses/announce.html#h4-examples
ncview,"Anvil, Delta, Rockfish",https://cirrus.ucsd.edu/ncview/,https://linux.die.net/man/1/ncview,"https://cirrus.ucsd.edu/~pierce/software/ncview/quick_intro.html , https://docs.pace.gatech.edu/interactiveJobs/ncview/ "
netcdf,ACES,https://www.unidata.ucar.edu/software/netcdf/,https://docs.unidata.ucar.edu/nug/current/,https://docs.unidata.ucar.edu/nug/current/netcdf_introduction.html 
